Sample	SampleID	Sampletype	Summer	Year	Date sampling	Site	Lat_S	Long_W	Depth (m)	Genus	Samples_name	Samples_names	label
E16	E16	sponge	2019	2019	2019-11-30T00:00:00Z	SE3	62°2924.8	59°4008.4	10	Mycale	Mycale sp.	Mycale sp.	Mycale.1_2019
E22-SE06	E22.S6	sponge	2019	2019	2019-12-07T00:00:00Z	SE6	62°2946.4	59°4131.3	11	Dendrilla	Dendrilla antarctica	Dendrilla antarctica	D.antarctica.1_2019
E24-1	E24.1	sponge	2019	2020	2020-02-25T00:00:00Z	SE2	62°2923.7	59°4005.5	13	Mycale	Mycale acerata	Mycale acerata	M.acerata.1_2019
E26-2	E26.2	sponge	2019	2020	2020-02-28T00:00:00Z	SE2	60°2925.1	59°4006.8	13	Mycale	Mycale acerata	Mycale acerata	M.acerata.2_2019
E26-4	E26.4	sponge	2019	2020	2020-02-28T00:00:00Z	SE2	60°2925.1	59°4006.8	13	Mycale	Mycale acerata	Mycale acerata	M.acerata.3_2019
E27-3	E27.3	sponge	2019	2020	2020-02-28T00:00:00Z	SE2	60°2925.1	59°4006.8	13	Myxilla (Burtonanchora)	Myxilla (Burtonanchora) sp.	Myxilla (Burtonanchora) sp.	Myxilla(Burt).1_2019
E27-4	E27.4	sponge	2019	2020	2020-02-28T00:00:00Z	SE2	60°2925.1	59°4006.8	13	Myxilla (Burtonanchora)	Myxilla (Burtonanchora) sp.	Myxilla (Burtonanchora) sp.	Myxilla(Burt).2_2019
E29-2	E29	sponge	2019	2020	2020-03-02T00:00:00Z	SE2	60°2924.5	59°4007.3	15	Dendrilla	Dendrilla antarctica	Dendrilla antarctica	D.antarctica.2_2019
E30-2-R1	E30	sponge	2019	2020	2020-03-02T00:00:00Z	SE2	60°2924.5	59°4007.3	15	Mycale	Mycale acerata	Mycale acerata	M.acerata.4_2019
E30-2	E30.1	sponge	2019	2020	2020-03-02T00:00:00Z	SE2	60°2924.5	59°4007.3	15	Mycale	Mycale acerata	Mycale acerata	M.acerata.5_2019
E30-2-R3	E30.3	sponge	2019	2020	2020-03-02T00:00:00Z	SE2	60°2924.5	59°4007.3	15	Mycale	Mycale acerata	Mycale acerata	M.acerata.6_2019
E34-2	E34.2	sponge	2020	2020	2020-12-18T00:00:00Z	SE3	60°2924.5	59°4007.3	12	Mycale	Mycale sp.	Mycale sp.	Mycale.1_2020
E36-2	E36.2	sponge	2020	2020	2020-12-23T00:00:00Z	SE3	60°2924.5	59°4007.3	12	Myxilla (Burtonanchora)	Myxilla (Burtonanchora) sp.	Myxilla (Burtonanchora) sp.	Myxilla(Burt).1_2020
E37	E37	sponge	2020	2020	2020-12-23T00:00:00Z	SE3	60°2924.5	59°4007.3	12	Mycale	Mycale acerata	Mycale acerata	M.acerata.1_2020
E43	E43	sponge	2020	2020	2020-12-23T00:00:00Z	SE3	60°2924.5	59°4007.3	12	Isodictya	Isodictya sp.	Isodictya sp.	Isodictya.1_2020
E44	E44	sponge	2020	2020	2020-12-23T00:00:00Z	SE3	60°2924.5	59°4007.3	12	Mycale	Mycale acerata	Mycale acerata	M.acerata.2_2020
E45	E45	sponge	2020	2020	2020-12-23T00:00:00Z	SE3	60°2924.5	59°4007.3	12	Mycale	Mycale sp.	Mycale sp.	Mycale.2_2020
E46	E46	sponge	2020	2020	2020-12-28T00:00:00Z	SE3	60°2924.5	59°4007.3	12	Mycale	Mycale magellanica	Mycale magellanica	Mmagellanica.1_2020
E50	E50	sponge	2020	2020	2020-12-28T00:00:00Z	SE3	60°2924.5	59°4007.3	12	Myxilla (Burtonanchora)	Myxilla (Burtonanchora) sp.	Myxilla (Burtonanchora) sp.	Myxilla(Burt).2_2020
E54	E54	sponge	2020	2020	2020-12-28T00:00:00Z	SE3	60°2924.5	59°4007.3	12	Dendrilla	Dendrilla antarctica	Dendrilla antarctica	D.antarctica.1_2020
E55	E55	sponge	2020	2020	2020-12-28T00:00:00Z	SE3	60°2924.5	59°4007.3	12	Mycale	Mycale bouryesnaultae	Mycale bouryesnaultae	M.bouryesnaultae.1_2020
E58	E58	sponge	2020	2021	2021-01-05T00:00:00Z	SE3	60°2924.5	59°4007.3	12	Isodictya	Isodictya sp.	Isodictya sp.	Isodictya.2_2020
E60	E60	sponge	2020	2021	2021-01-05T00:00:00Z	SE3	60°2924.5	59°4007.3	12	Iophon	Iophon sp.	Iophon sp.	Iophon.1_2020
E61	E61	sponge	2020	2021	2021-01-05T00:00:00Z	SE3	60°2924.5	59°4007.3	12	Myxilla (Burtonanchora)	Myxilla (Burtonanchora) sp.	Myxilla (Burtonanchora) sp.	Myxilla(Burt).3_2020
E62	E62	sponge	2020	2021	2021-01-05T00:00:00Z	SE3	60°2924.5	59°4007.3	12	Mycale	Mycale bouryesnaultae	Mycale bouryesnaultae	M.bouryesnaultae.2_2020
E63	E63	sponge	2020	2021	2021-01-05T00:00:00Z	SE3	60°2924.5	59°4007.3	12	Mycale	Mycale sp.	Mycale sp.	Mycale.3_2020
